name,5,10,15,20,25,30
Aziz Ansari,5,3,5,3,4,5
Grace,3,5,3,4,3,5
Ashleigh Banfield,absent,7,4,2,7,3
Caitlin Flanagan,absent,6,3,6,4,3
Hollywood,6,2,4,4,4,4
Harvey Weinstein,3,2,7,4,4,4
Samantha Bee,absent,absent,absent,absent,4,7
Donald Trump,6,3,4,4,4,4
James Franco,5,4,2,2,1,3
Oprah Winfrey,7,5,3,3,3,3
Seth Meyers,5,4,1,1,1,1
Katie Way,absent,6,3,6,4,5
Babe.net,4,6,3,3,3,5
Guillermo del Toro,5,2,1,1,1,1
Margaret Atwood,2,2,3,2,6,3
Andrew Sullivan,absent,4,2,2,2,2
Kevin Spacy,2,2,1,1,3,3
Atlantic,absent,3,1,1,1,4
Bari Weiss,absent,5,4,6,4,4
Natalie Portman,5,2,1,1,1,1
Bob Saget,absent,absent,absent,2,2,1
Matt Lauer,absent,absent,4,4,4,2
New York Times,absent,5,5,5,5,4
